run,batch_size,per_device_batch_size,seed,step,examples_seen,action_dit_loss,mse_score,open_loop/mse_mean,train/shared_z/loss,eval/structured_aux_loss,learning_rate/action_model,mse_score_batch_corrected_rmse
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,100,3200,0.5908641815185547,,,0.38438406586647034,,5e-06,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,200,6400,0.2668813467025757,,,0.3158262073993683,,1e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,300,9600,0.2228771299123764,,,0.29790329933166504,,1.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,400,12800,0.25596630573272705,,,0.24929751455783844,,2e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,500,16000,0.2067568004131317,,,0.18583063781261444,,2.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,600,19200,0.2189994752407074,,,0.1471068114042282,,3e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,700,22400,0.20843598246574402,,,0.11589502543210983,,3.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,800,25600,0.15630263090133667,,,0.09359676390886307,,4e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,900,28800,0.13350453972816467,,,0.0623830184340477,,4.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1000,32000,0.15627512335777283,0.005425021584544863,0.0752640962600708,0.09718544781208038,0.0875883549451828,5e-05,0.22965212751781242
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1100,35200,0.1151818186044693,,,0.05263734236359596,,5.500000000000001e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1200,38400,0.1119818389415741,,,0.05389436334371567,,6e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1300,41600,0.11168283224105835,,,0.06703692674636841,,6.500000000000001e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1400,44800,0.13099156320095062,,,0.08182736486196518,,7e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1500,48000,0.09708483517169952,,,0.052938319742679596,,7.500000000000001e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1600,51200,0.12032026052474976,,,0.041309379041194916,,8e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1700,54400,0.12592506408691406,,,0.06670083850622177,,8.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1800,57600,0.09522955864667892,,,0.042874716222286224,,9e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,1900,60800,0.08865191042423248,,,0.050950367003679276,,9.5e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2000,64000,0.10100380331277847,0.005863498364176069,0.05703229457139969,0.028704337775707245,0.05012115091085434,0.0001,0.24821373575110267
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2100,67200,0.11204663664102554,,,0.04433880373835564,,9.999268936750679e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2200,70400,0.0842825323343277,,,0.0372798852622509,,9.99707596969166e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2300,73600,0.10413055866956711,,,0.04335236921906471,,9.993421766821954e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2400,76800,0.10497365891933441,,,0.04490204155445099,,9.988307441247157e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2500,80000,0.08366456627845764,,,0.025479095056653023,,9.98173455084038e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2600,83200,0.09592581540346146,,,0.031340379267930984,,9.973705097767713e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2700,86400,0.08312717080116272,,,0.030959591269493103,,9.964221527878347e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2800,89600,0.11977434158325195,,,0.05313892289996147,,9.953286729959538e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,2900,92800,0.10707041621208191,,,0.02632366307079792,,9.940904034856662e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3000,96000,0.08524857461452484,0.0049411846058709285,0.051812052726745605,0.03452131897211075,0.02835206314921379,9.9270772144586e-05,0.2091703303871229
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3100,99200,0.07140907645225525,,,0.03058018535375595,,9.911810480548788e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3200,102400,0.08976252377033234,,,0.030854294076561928,,9.895108483522268e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3300,105600,0.08393476903438568,,,0.031096603721380234,,9.87697631096913e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3400,108800,0.0782250463962555,,,0.037671733647584915,,9.857419486124782e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3500,112000,0.08189313113689423,,,0.03150256350636482,,9.836443966187527e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3600,115200,0.07169907540082932,,,0.03770526126027107,,9.814056140503931e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3700,118400,0.09247173368930817,,,0.032874565571546555,,9.790262828622571e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3800,121600,0.08651473373174667,,,0.041708581149578094,,9.765071278216737e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,3900,124800,0.10838805884122849,,,0.06167410686612129,,9.738489162876721e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4000,128000,0.07065033912658691,0.004219416795032365,0.02920200489461422,0.03500541299581528,0.04095972329378128,9.71052457977236e-05,0.17861644027815732
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4100,131200,0.056806255131959915,,,0.028739606961607933,,9.681186047186568e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4200,134400,0.07951276004314423,,,0.02058665081858635,,9.650482501920581e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4300,137600,0.07721197605133057,,,0.029987117275595665,,9.618423296571715e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4400,140800,0.07735981792211533,,,0.05188406631350517,,9.585018196684484e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4500,144000,0.07644966244697571,,,0.02986619994044304,,9.55027737777592e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4600,147200,0.07308904826641083,,,0.03757299482822418,,9.514211422236002e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4700,150400,0.07214739918708801,,,0.030169889330863953,,9.476831316104165e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4800,153600,0.09016059339046478,,,0.03681036829948425,,9.43814844572285e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,4900,156800,0.07384905964136124,,,0.02990984544157982,,9.3981745942691e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5000,160000,0.0857713520526886,0.005006925868136542,0.050260867923498154,0.030619997531175613,0.040702927857637405,9.356921938165307e-05,0.21195329088040754
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5100,163200,0.08146073669195175,,,0.040902137756347656,,9.31440304337014e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5200,166400,0.08222131431102753,,,0.0372639000415802,,9.270630861550844e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5300,169600,0.06219286471605301,,,0.024119755253195763,,9.225618726138036e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5400,172800,0.08163802325725555,,,0.03858782351016998,,9.1793803482642e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5500,176000,0.06614287197589874,,,0.025111988186836243,,9.131929812587162e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5600,179200,0.04973963648080826,,,0.027376996353268623,,9.083281572999748e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5700,182400,0.07975536584854126,,,0.02941105142235756,,9.033450448227007e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5800,185600,0.07747186720371246,,,0.039783772081136703,,8.982451617312265e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,5900,188800,0.09549196809530258,,,0.03536054119467735,,8.930300614993461e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,6000,192000,0.09192759543657303,0.005010806556258883,0.06425561755895615,0.04002232849597931,0.04197997227311134,8.877013326971095e-05,0.2121175682514078
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,6100,195200,0.07694601267576218,,,0.029200488701462746,,8.822605985069306e-05,
ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,32,16,42,6200,198400,0.0639275461435318,,,0.03170171007514,,8.767095162291493e-05,
