tree,benchmark,run,unit,successes,episodes,success_rate,source
starVLA,decoder-latent-libero,ervla_pi_decoder_latent_v_mid8_18,libero_10,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json
starVLA,decoder-latent-libero,ervla_pi_decoder_latent_v_mid8_18,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json
starVLA,decoder-latent-libero,ervla_pi_decoder_latent_v_mid8_18,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json
starVLA,decoder-latent-libero,ervla_pi_decoder_latent_v_mid8_18,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_10,663,1000,0.66300000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_goal,684,1000,0.68400000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_object,854,1000,0.85400000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_spatial,800,1000,0.80000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_10,663,1000,0.66300000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_10/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_goal,684,1000,0.68400000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_goal/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_object,854,1000,0.85400000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_object/overall_results.json
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,libero_spatial,800,1000,0.80000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_spatial/overall_results.json
starVLA,libero,ervla_a_causal,libero_10,92,100,0.92000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json
starVLA,libero,ervla_a_causal,libero_goal,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json
starVLA,libero,ervla_a_causal,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json
