tree,run,arm,seed,benchmark,result_dir,suite_or_task,tag,n_episodes,successes,success_rate,se,checkpoint_step,source_path,is_full_protocol
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-libero,decoder-latent-libero,libero_10,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-libero,decoder-latent-libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-libero,decoder-latent-libero,libero_object,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-libero,decoder-latent-libero,libero_spatial,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-libero/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids,libero_10,,1000,663,0.66300000,0.01494761,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json,True
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids,libero_goal,,1000,684,0.68400000,0.01470184,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json,True
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids,libero_object,,1000,854,0.85400000,0.01116620,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json,True
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids,libero_spatial,,1000,800,0.80000000,0.01264911,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/overall_results.json,True
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids/libero_10,libero_10,,1000,663,0.66300000,0.01494761,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_10/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids/libero_goal,libero_goal,,1000,684,0.68400000,0.01470184,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_goal/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids/libero_object,libero_object,,1000,854,0.85400000,0.01116620,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_object/overall_results.json,False
starVLA,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,decoder-latent-plus-gpuids/libero_spatial,libero_spatial,,1000,800,0.80000000,0.01264911,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_pi_decoder_latent_v_mid8_18/results/decoder-latent-plus-gpuids/libero_spatial/overall_results.json,False
starVLA,ervla_a_causal,causal,42,libero,libero,libero_10,,100,92,0.92000000,0.02712932,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json,False
starVLA,ervla_a_causal,causal,42,libero,libero,libero_goal,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json,False
starVLA,ervla_a_causal,causal,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json,False
starVLA,ervla_a_causal,causal,42,libero,libero,libero_spatial,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_a_causal/results/libero/overall_results.json,False
starVLA,ervla_b_bidir,encoder,42,libero,libero,libero_10,,100,93,0.93000000,0.02551470,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_b_bidir/results/libero/overall_results.json,False
starVLA,ervla_b_bidir,encoder,42,libero,libero,libero_goal,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_b_bidir/results/libero/overall_results.json,False
starVLA,ervla_b_bidir,encoder,42,libero,libero,libero_object,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_b_bidir/results/libero/overall_results.json,False
starVLA,ervla_b_bidir,encoder,42,libero,libero,libero_spatial,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_b_bidir/results/libero/overall_results.json,False
starVLA,ervla_c_action_batchdrop,other,42,libero,libero,libero_10,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_c_action_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_c_action_batchdrop,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_c_action_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_c_action_batchdrop,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_c_action_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_c_action_batchdrop,other,42,libero,libero,libero_spatial,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_c_action_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_10,,100,90,0.90000000,0.03000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_spatial,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
