tree,benchmark,run,arm,seed,result_dir,tag,checkpoint_step,units,episodes,successes,success_rate,se
starVLA,decoder-latent-plus-gpuids,ervla_pi_decoder_latent_v_mid8_18,other,42,decoder-latent-plus-gpuids,,,4,4000,3001,0.75025000,0.00684425
starVLA,libero-plus,libero_plus_qwen08b_gr00t_cot_trace_ours_v3_cotw01,CoT-trace,1234,libero-plus,,,4,4000,3323,0.83075000,0.00592884
starVLA,libero-plus,libero_plus_qwen08b_gr00t_cot_trace_det_v3_cotw01,CoT-trace,1234,libero-plus,,,4,4000,3249,0.81225000,0.00617454
starVLA,libero-plus,ervla_zonly_gr00t_sharedz_ground_temporal_v5_s42,shared-z/zonly,42,libero-plus,,,4,4000,3147,0.78675000,0.00647639
starVLA,libero-plus,ervla_zonly_gr00t_sharedz_ground_temporal_v5_s43,shared-z/zonly,43,libero-plus,,,4,4000,3131,0.78275000,0.00652021
starVLA,libero-plus,ervla_zonly_pi_sharedz_ground_temporal_v5_s43,shared-z/zonly,43,libero-plus,,,4,4000,3131,0.78275000,0.00652021
starVLA,libero-plus,ervla_gr00t_sharedz_v5_memdrop100_b64_s43,shared-z/zonly,43,libero-plus,,,4,4000,3126,0.78150000,0.00653372
starVLA,libero-plus,ervla_zonly_pi_sharedz_ground_temporal,shared-z/zonly,42,libero-plus,,,4,4149,3221,0.77633165,0.00646925
starVLA,libero-plus,libero_plus_qwen08b_gr00t_deeps,GR00T/other-backbone,42,libero-plus,,,4,4000,3087,0.77175000,0.00663611
starVLA,libero-plus,ervla_zonly_pi_sharedz_ground_temporal_aug_s43,shared-z/zonly,43,libero-plus,,,4,4000,3075,0.76875000,0.00666659
starVLA,libero-plus,ervla_gr00t_sharedz_v5_memdrop015_b64_s42,shared-z/zonly,42,libero-plus,,,4,4000,3074,0.76850000,0.00666910
starVLA,libero-plus,ervla_u_pi_layerwise_decoder_cot_rand,CoT-trace,42,libero-plus,,,4,4000,3072,0.76800000,0.00667413
starVLA,libero-plus,ervla_gr00t_sharedz_v5_memdrop015_b64_s43,shared-z/zonly,43,libero-plus,,,4,4000,3069,0.76725000,0.00668164
starVLA,libero-plus,ervla_gr00t_sharedz_v5_zmem4_memdrop100_b64_s42,shared-z/zonly,42,libero-plus,,,4,4000,3060,0.76500000,0.00670401
starVLA,libero-plus,ervla_zonly_pi_sharedz_ground_temporal_v5_s42,shared-z/zonly,42,libero-plus,,,4,4000,3059,0.76475000,0.00670648
starVLA,libero-plus,ervla_v5_piv4_actiononly_s42,other,42,libero-plus,,,4,4000,3045,0.76125000,0.00674071
starVLA,libero-plus,ervla_z2_pi_w32_tied_dynamics,other,42,libero-plus,,,4,4000,3042,0.76050000,0.00674796
starVLA,libero-plus,ervla_gr00t_sharedz_v5_zmem4_memdrop015_b64_s42,shared-z/zonly,42,libero-plus,,,4,4000,3039,0.75975000,0.00675518
starVLA,libero-plus,ervla_gr00t_sharedz_v5_zmem4_memdrop100_b64_s43,shared-z/zonly,43,libero-plus,,,4,4000,3038,0.75950000,0.00675758
starVLA,libero-plus,ervla_v_pi_decoder_staged_cot,CoT-trace,42,libero-plus,,,4,4000,3035,0.75875000,0.00676477
starVLA,libero-plus,ervla_zonly_pi_sharedz_ground_temporal_aug_s42,shared-z/zonly,42,libero-plus,,,4,4000,3031,0.75775000,0.00677431
starVLA,libero-plus,ervla_gr00t_sharedz_v5_zmem4_memdrop015_b64_s43,shared-z/zonly,43,libero-plus,,,4,4000,3027,0.75675000,0.00678379
starVLA,libero-plus,ervla_zshuf_pi_sharedz_ground_temporal,shared-z/zonly,42,libero-plus,,,4,4000,3025,0.75625000,0.00678852
starVLA,libero-plus,ervla_gr00t_sharedz_v5_memdrop100_b64_s42,shared-z/zonly,42,libero-plus,,,4,4000,3024,0.75600000,0.00679088
starVLA,libero-plus,ervla_v5_gr00t_actiononly_s42,GR00T/other-backbone,42,libero-plus,,,4,4000,3014,0.75350000,0.00681428
starVLA,libero-plus,ervla_v5_piv4_actiononly_s43,other,43,libero-plus,,,4,4000,3008,0.75200000,0.00682818
starVLA,libero-plus,ervla_znodrop_pi_sharedz_ground_temporal,shared-z/zonly,42,libero-plus,,,4,4000,2995,0.74875000,0.00685790
starVLA,libero-plus,ervla_v5_pi_actiononly_pifix_aug_s42,encoder,42,libero-plus,,,4,4000,2992,0.74800000,0.00686469
starVLA,libero-plus,ervla_v5_gr00t_traceloop_1pass_noz_all_s43,CoT-trace,43,libero-plus,,,4,4000,2986,0.74650000,0.00687819
starVLA,libero-plus,ervla_v5_gr00t_traceloop_2pass_noz_pred_all_s42,CoT-trace,42,libero-plus,,,4,4000,2979,0.74475000,0.00689379
