episode_index,source_prefix,source_episode_index,length,dataset_from_index,dataset_to_index,archive_key,archive_url
0,target/atomic/CloseBlenderLid/20250822,0,361,0,361,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
1,target/atomic/CloseBlenderLid/20250822,1,412,361,773,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
2,target/atomic/CloseBlenderLid/20250822,2,381,773,1154,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
3,target/atomic/CloseBlenderLid/20250822,3,349,1154,1503,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
4,target/atomic/CloseBlenderLid/20250822,4,384,1503,1887,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
5,target/atomic/CloseBlenderLid/20250822,5,417,1887,2304,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
6,target/atomic/CloseBlenderLid/20250822,6,493,2304,2797,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
7,target/atomic/CloseBlenderLid/20250822,7,403,2797,3200,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
8,target/atomic/CloseBlenderLid/20250822,8,395,3200,3595,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
9,target/atomic/CloseBlenderLid/20250822,9,493,3595,4088,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
10,target/atomic/CloseBlenderLid/20250822,10,299,4088,4387,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
11,target/atomic/CloseBlenderLid/20250822,11,328,4387,4715,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
12,target/atomic/CloseBlenderLid/20250822,12,347,4715,5062,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
13,target/atomic/CloseBlenderLid/20250822,13,283,5062,5345,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
14,target/atomic/CloseBlenderLid/20250822,14,520,5345,5865,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
15,target/atomic/CloseBlenderLid/20250822,15,232,5865,6097,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
16,target/atomic/CloseBlenderLid/20250822,16,410,6097,6507,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
17,target/atomic/CloseBlenderLid/20250822,17,290,6507,6797,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
18,target/atomic/CloseBlenderLid/20250822,18,532,6797,7329,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
19,target/atomic/CloseBlenderLid/20250822,19,448,7329,7777,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
20,target/atomic/CloseBlenderLid/20250822,20,394,7777,8171,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
